"male_age","treatment","time_factor","mean_SM","se_SM","max_SM","min_SM"
"2","with seminal fluid","0",10.4727777788333,1.39161547992484,14.15666667,6.05
"2","with seminal fluid","2",8.05055555566667,1.33389360912007,11.29333333,3.566666667
"2","with seminal fluid","4",6.53333333316667,1.55616361136294,10.41333333,1.953333333
"2","with seminal fluid","6",5.52166666666667,1.49081477843615,9.653333333,1.696666667
"2","without seminal fluid","0",6.2955555555,0.849996368895091,7.89,3.13
"2","without seminal fluid","2",3.75944444433333,0.670127913040562,6.05,2.17
"2","without seminal fluid","4",3.26055555583333,0.564393096920067,5.52,1.786666667
"2","without seminal fluid","6",2.45944444466667,0.214730523014715,3.06,1.616666667
"5","with seminal fluid","0",12.0255555566667,0.760118249609807,14.46666667,10.17333333
"5","with seminal fluid","2",10.1577777778333,0.919158498454583,12.72333333,6.97
"5","with seminal fluid","4",8.62777777783333,0.89946966540917,10.36333333,5.54
"5","with seminal fluid","6",7.698888889,0.735212575331503,9.336666667,4.853333333
"5","without seminal fluid","0",9.66111111,1.66162875569889,13.10333333,2.57
"5","without seminal fluid","2",7.28611111066667,1.32235575866665,10.89,1.88
"5","without seminal fluid","4",5.74833333333333,1.2530572242763,9.82,1.506666667
"5","without seminal fluid","6",5.1055555555,1.16180850929894,9.193333333,1.383333333
"9","with seminal fluid","0",14.0077777783333,0.523598422127417,15.50333333,12.35666667
"9","with seminal fluid","2",11.9588888878333,0.733797159496705,13.46333333,8.736666667
"9","with seminal fluid","4",10.3644444438333,0.933418117812652,12.85333333,6.833333333
"9","with seminal fluid","6",8.8088888895,1.10616510306308,11.70666667,5.536666667
"9","without seminal fluid","0",9.54444444316667,1.50959270090527,14.01,5.243333333
"9","without seminal fluid","2",7.4494444445,1.27550757263991,10.51333333,3.343333333
"9","without seminal fluid","4",5.946111111,1.16822353785751,8.703333333,2.72
"9","without seminal fluid","6",5.231111111,1.03512055717824,7.95,2.426666667
"12","with seminal fluid","0",12.8628571418571,1.67324296645571,16.65333333,3.343333333
"12","with seminal fluid","2",10.9857142857143,1.71997534618325,15.78333333,2.436666667
"12","with seminal fluid","4",9.598571428,1.63447220697356,14.76666667,1.513333333
"12","with seminal fluid","6",8.567142857,1.63725823028568,14.37,1.283333333
"12","without seminal fluid","0",11.7276190447143,1.09518612678813,15.89333333,6.463333333
"12","without seminal fluid","2",9.71619047571428,1.09184844669179,12.10333333,3.506666667
"12","without seminal fluid","4",7.98333333371429,0.878831294858969,10.11666667,3.303333333
"12","without seminal fluid","6",6.79285714285714,0.843170643896288,8.626666667,2.883333333
