maleID,maleID_Suse,seminal.vesicle,treatment,time.before.analysis.min,temperature,male.age,measurement.timepoint min,sperm.motility1,sperm.motility2,sperm.motility3,mean.sperm.motility
54,54,2,with seminal fluid,14,room temperature,48,6,0.95,2.58,1.34,1.623333333
55,55,1,with seminal fluid,0,room temperature,48,0,14.77,16.19,13.59,14.85
55,55,1,with seminal fluid,0,room temperature,48,2,14.58,14.88,13.72,14.39333333
55,55,1,with seminal fluid,0,room temperature,48,4,13.39,13.39,13.54,13.44
55,55,1,with seminal fluid,0,room temperature,48,6,12.37,12.72,13.1,12.73
55,55,2,without seminal fluid,13,room temperature,48,0,12.2,10.41,12.57,11.72666667
55,55,2,without seminal fluid,13,room temperature,48,2,6.85,6.87,8.93,7.55
55,55,2,without seminal fluid,13,room temperature,48,4,3.92,5.17,7.16,5.416666667
55,55,2,without seminal fluid,13,room temperature,48,6,3.94,5.27,3.68,4.296666667
56,56,1,without seminal fluid,0,room temperature,48,0,11.15,11.27,13.54,11.98666667
56,56,1,without seminal fluid,0,room temperature,48,2,8.15,8.16,10.18,8.83
56,56,1,without seminal fluid,0,room temperature,48,4,5.04,5.39,7.54,5.99
56,56,1,without seminal fluid,0,room temperature,48,6,3.07,4.22,5.6,4.296666667
56,56,2,with seminal fluid,15,room temperature,48,0,13.56,12.08,10.92,12.18666667
56,56,2,with seminal fluid,15,room temperature,48,2,11.62,10.84,9.61,10.69
56,56,2,with seminal fluid,15,room temperature,48,4,7.63,9.86,8.04,8.51
56,56,2,with seminal fluid,15,room temperature,48,6,4.78,6.89,6.88,6.183333333
57,57,1,without seminal fluid,0,room temperature,56,0,1.66,2.52,2.73,2.303333333
57,57,1,without seminal fluid,0,room temperature,56,2,1.57,2.2,5.21,2.993333333
57,57,1,without seminal fluid,0,room temperature,56,4,1.45,2.33,3.19,2.323333333
57,57,1,without seminal fluid,0,room temperature,56,6,1.61,2.69,3.47,2.59
57,57,2,with seminal fluid,17,room temperature,56,0,4.22,1.94,2.65,2.936666667
57,57,2,with seminal fluid,17,room temperature,56,2,1.71,1.17,1.29,1.39
57,57,2,with seminal fluid,17,room temperature,56,4,1.68,1.3,1.29,1.423333333
57,57,2,with seminal fluid,17,room temperature,56,6,1.51,1.2,1.18,1.296666667
58,58,1,with seminal fluid,0,room temperature,56,0,11.98,7.75,9.79,9.84
58,58,1,with seminal fluid,0,room temperature,56,2,10.27,5.04,8.87,8.06
58,58,1,with seminal fluid,0,room temperature,56,4,7.76,4.23,5.2,5.73
58,58,1,with seminal fluid,0,room temperature,56,6,7.75,3.36,5.41,5.506666667
58,58,2,without seminal fluid,14,room temperature,56,0,2.51,3.33,3.16,3
58,58,2,without seminal fluid,14,room temperature,56,2,1.69,2.55,2,2.08
58,58,2,without seminal fluid,14,room temperature,56,4,1.55,2.05,2,1.866666667
58,58,2,without seminal fluid,14,room temperature,56,6,1.87,1.83,1.59,1.763333333
59,59,1,without seminal fluid,0,room temperature,56,0,14.89,14.4,13.09,14.12666667
59,59,1,without seminal fluid,0,room temperature,56,2,11.17,12.11,8.77,10.68333333
59,59,1,without seminal fluid,0,room temperature,56,4,9.97,10.59,7.39,9.316666667
59,59,1,without seminal fluid,0,room temperature,56,6,9.67,10.6,6.15,8.806666667
60,60,1,with seminal fluid,0,room temperature,56,0,1.91,2.49,3.93,2.776666667
60,60,1,with seminal fluid,0,room temperature,56,2,1.68,1.94,3.22,2.28
60,60,1,with seminal fluid,0,room temperature,56,4,1.75,1.82,2.79,2.12
60,60,1,with seminal fluid,0,room temperature,56,6,1.8,1.62,2.46,1.96
60,60,2,without seminal fluid,15,room temperature,56,0,2.83,2.53,5.07,3.476666667
60,60,2,without seminal fluid,15,room temperature,56,2,2.51,2.02,2.15,2.226666667
60,60,2,without seminal fluid,15,room temperature,56,4,1.88,1.57,1.72,1.723333333
60,60,2,without seminal fluid,15,room temperature,56,6,1.71,1.46,1.5,1.556666667
61,61,1,without seminal fluid,0,room temperature,56,0,9.94,8.1,7.42,8.486666667
61,61,1,without seminal fluid,0,room temperature,56,2,8.41,6.49,7.72,7.54
61,61,1,without seminal fluid,0,room temperature,56,4,6.96,5.51,6.76,6.41
61,61,1,without seminal fluid,0,room temperature,56,6,5.75,5.16,6.4,5.77
61,61,2,with seminal fluid,14,room temperature,56,0,1.97,2.29,2.36,2.206666667
61,61,2,with seminal fluid,14,room temperature,56,2,1.49,1.34,1.61,1.48
61,61,2,with seminal fluid,14,room temperature,56,4,1.45,1.25,1.46,1.386666667
61,61,2,with seminal fluid,14,room temperature,56,6,1.45,1.28,1.49,1.406666667
62,62,1,with seminal fluid,0,room temperature,56,0,9.99,7.85,8.72,8.853333333
62,62,1,with seminal fluid,0,room temperature,56,2,9.85,7.06,7.85,8.253333333
62,62,1,with seminal fluid,0,room temperature,56,4,11.51,9.96,9.4,10.29
62,62,1,with seminal fluid,0,room temperature,56,6,,,,
62,62,2,without seminal fluid,15,room temperature,56,0,12.46,15.09,13.78,13.77666667
62,62,2,without seminal fluid,15,room temperature,56,2,11.31,13.78,11.22,12.10333333
62,62,2,without seminal fluid,15,room temperature,56,4,9.73,11.75,8.09,9.856666667
62,62,2,without seminal fluid,15,room temperature,56,6,7.57,8.8,5.42,7.263333333
