flyID,batch_combination,sperm_donor_hatch,SF_donor_hatch,dissection_date,time_recording,sperm_age,seminal_fluid_age,treatment_combination,mean_motility_3frames,sperm_motility_frame1,sperm_motility_frame2,sperm_motility_frame3,sperm_motility_field_of_view,video_filename_old,video_recoded
42,"J,C",19.01.23,04.01.23,02.02.23,6,young sperm,old SF,young sperm with old SF,8.462,8.5459,7.4431,9.397,6.0756,Fly42_6min,168
43,"C,J",04.01.23,19.01.23,02.02.23,0,old sperm,young SF,old sperm with young SF,9.359266667,9.856,9.877,8.3448,6.4823,Fly43_0min,169
43,"C,J",04.01.23,19.01.23,02.02.23,2,old sperm,young SF,old sperm with young SF,7.555966667,7.9228,7.9526,6.7925,5.2572,Fly43_2min,170
43,"C,J",04.01.23,19.01.23,02.02.23,4,old sperm,young SF,old sperm with young SF,6.5103,6.7042,6.6033,6.2234,4.5405,Fly43_4min,171
43,"C,J",04.01.23,19.01.23,02.02.23,6,old sperm,young SF,old sperm with young SF,5.7755,5.5456,5.9026,5.8783,3.9944,Fly43_6min,172
44,"C,C",04.01.23,04.01.23,02.02.23,0,old sperm,old SF,old sperm with old SF,8.636433333,7.5693,9.556,8.784,5.0419,Fly44_0min,173
44,"C,C",04.01.23,04.01.23,02.02.23,2,old sperm,old SF,old sperm with old SF,6.790866667,4.8897,7.8009,7.682,4.1097,Fly44_2min,174
44,"C,C",04.01.23,04.01.23,02.02.23,4,old sperm,old SF,old sperm with old SF,5.595366667,3.9085,6.5303,6.3473,3.3437,Fly44_4min,175
44,"C,C",04.01.23,04.01.23,02.02.23,6,old sperm,old SF,old sperm with old SF,3.923233333,2.0621,5.2049,4.5027,2.7856,Fly44_6min,176
45,"J,C",19.01.23,04.01.23,03.02.23,0,young sperm,old SF,young sperm with old SF,5.950266667,7.4571,5.7572,4.6365,3.6331,Fly45_0min,177
45,"J,C",19.01.23,04.01.23,03.02.23,2,young sperm,old SF,young sperm with old SF,4.696033333,5.6746,4.0606,4.3529,2.8286,Fly45_2min,178
45,"J,C",19.01.23,04.01.23,03.02.23,4,young sperm,old SF,young sperm with old SF,3.840833333,4.5066,3.2924,3.7235,2.5001,Fly45_4min,179
45,"J,C",19.01.23,04.01.23,03.02.23,6,young sperm,old SF,young sperm with old SF,3.579433333,3.926,3.4109,3.4014,2.3404,Fly45_6min,180
46,"C,J",04.01.23,19.01.23,03.02.23,0,old sperm,young SF,old sperm with young SF,8.258433333,8.4756,8.1428,8.1569,4.4476,Fly46_0min,181
46,"C,J",04.01.23,19.01.23,03.02.23,2,old sperm,young SF,old sperm with young SF,6.5406,6.7788,6.8296,6.0134,3.4011,Fly46_2min,182
46,"C,J",04.01.23,19.01.23,03.02.23,4,old sperm,young SF,old sperm with young SF,5.381666667,5.6688,6.0903,4.3859,2.8189,Fly46_4min,183
46,"C,J",04.01.23,19.01.23,03.02.23,6,old sperm,young SF,old sperm with young SF,4.968166667,5.0681,5.5412,4.2952,2.5544,Fly46_6min,184
47,"C,C",04.01.23,04.01.23,03.02.23,0,old sperm,old SF,old sperm with old SF,8.942333333,8.7466,9.3071,8.7733,5.5816,Fly47_0min,185
47,"C,C",04.01.23,04.01.23,03.02.23,2,old sperm,old SF,old sperm with old SF,7.914533333,8.1255,8.0547,7.5634,5.4964,Fly47_2min,186
47,"C,C",04.01.23,04.01.23,03.02.23,4,old sperm,old SF,old sperm with old SF,7.669766667,7.6395,8.0531,7.3167,5.2601,Fly47_4min,187
47,"C,C",04.01.23,04.01.23,03.02.23,6,old sperm,old SF,old sperm with old SF,7.191033333,7.0355,7.844,6.6936,5.1327,Fly47_6min,188
48,"J,J",19.01.23,19.01.23,03.02.23,0,young sperm,young SF,young sperm with young SF,5.194166667,7.7419,3.7162,4.1244,2.4339,Fly48_0min,189
48,"J,J",19.01.23,19.01.23,03.02.23,2,young sperm,young SF,young sperm with young SF,3.772766667,5.9336,2.6574,2.7273,1.9285,Fly48_2min,190
48,"J,J",19.01.23,19.01.23,03.02.23,4,young sperm,young SF,young sperm with young SF,3.6756,5.6411,2.6286,2.7571,1.8744,Fly48_4min,191
48,"J,J",19.01.23,19.01.23,03.02.23,6,young sperm,young SF,young sperm with young SF,3.625333333,5.1318,2.7426,3.0016,1.8593,Fly48_6min,192
49,"C,J",04.01.23,19.01.23,03.02.23,0,old sperm,young SF,old sperm with young SF,7.127433333,6.8453,7.2529,7.2841,5.0554,Fly49_0min,193
49,"C,J",04.01.23,19.01.23,03.02.23,2,old sperm,young SF,old sperm with young SF,5.5727,5.255,5.9601,5.503,3.981,Fly49_2min,194
49,"C,J",04.01.23,19.01.23,03.02.23,4,old sperm,young SF,old sperm with young SF,5.0104,4.6057,5.2009,5.2246,3.6726,Fly49_4min,195
49,"C,J",04.01.23,19.01.23,03.02.23,6,old sperm,young SF,old sperm with young SF,4.7221,4.6239,4.9169,4.6255,3.4676,Fly49_6min,196
50,"C,C",04.01.23,04.01.23,03.02.23,0,old sperm,old SF,old sperm with old SF,9.0836,8.9048,9.2825,9.0635,5.7792,Fly50_0min,197
50,"C,C",04.01.23,04.01.23,03.02.23,2,old sperm,old SF,old sperm with old SF,6.836966667,7.0501,6.3048,7.156,4.5726,Fly50_2min,198
50,"C,C",04.01.23,04.01.23,03.02.23,4,old sperm,old SF,old sperm with old SF,5.480866667,5.4422,4.6915,6.3089,3.9025,Fly50_4min,199
50,"C,C",04.01.23,04.01.23,03.02.23,6,old sperm,old SF,old sperm with old SF,4.530133333,3.6027,4.4342,5.5535,3.4352,Fly50_6min,200
51,"J,J",19.01.23,19.01.23,03.02.23,0,young sperm,young SF,young sperm with young SF,7.134066667,7.1448,6.9657,7.2917,4.7263,Fly51_0min,201
51,"J,J",19.01.23,19.01.23,03.02.23,2,young sperm,young SF,young sperm with young SF,4.9641,5.5757,4.928,4.3886,3.3896,Fly51_2min,202
51,"J,J",19.01.23,19.01.23,03.02.23,4,young sperm,young SF,young sperm with young SF,4.187466667,4.6962,3.9739,3.8923,3.0729,Fly51_4min,203
51,"J,J",19.01.23,19.01.23,03.02.23,6,young sperm,young SF,young sperm with young SF,5.3643,6.193,4.8916,5.0083,3.6141,Fly51_6min,204
52,"J,C",19.01.23,04.01.23,03.02.23,0,young sperm,old SF,young sperm with old SF,12.2877,12.9221,13.3443,10.5967,6.1581,Fly52_0min,205
52,"J,C",19.01.23,04.01.23,03.02.23,2,young sperm,old SF,young sperm with old SF,11.44056667,12.414,11.4272,10.4805,6.4867,Fly52_2min,206
52,"J,C",19.01.23,04.01.23,03.02.23,4,young sperm,old SF,young sperm with old SF,10.88736667,12.0146,11.1056,9.5419,5.5141,Fly52_4min,207
52,"J,C",19.01.23,04.01.23,03.02.23,6,young sperm,old SF,young sperm with old SF,10.15693333,11.876,9.6771,8.9177,4.8408,Fly52_6min,208
53,"D,D",05.01.23,05.01.23,06.02.23,0,old sperm,old SF,old sperm with old SF,7.040066667,8.2656,6.5283,6.3263,4.4385,Fly53_0min,209
53,"D,D",05.01.23,05.01.23,06.02.23,2,old sperm,old SF,old sperm with old SF,5.405833333,6.3873,4.993,4.8372,3.0797,Fly53_2min,210
53,"D,D",05.01.23,05.01.23,06.02.23,4,old sperm,old SF,old sperm with old SF,4.386933333,5.7765,4.0134,3.3709,2.4657,Fly53_4min,211
53,"D,D",05.01.23,05.01.23,06.02.23,6,old sperm,old SF,old sperm with old SF,3.590333333,4.7695,3.4561,2.5454,2.1643,Fly53_6min,212
54,"D,D",05.01.23,05.01.23,06.02.23,0,old sperm,old SF,old sperm with old SF,5.900566667,5.4223,6.6239,5.6555,2.9721,Fly54_0min,213
54,"D,D",05.01.23,05.01.23,06.02.23,2,old sperm,old SF,old sperm with old SF,4.637066667,3.9348,5.3827,4.5937,2.3936,Fly54_2min,214
54,"D,D",05.01.23,05.01.23,06.02.23,4,old sperm,old SF,old sperm with old SF,3.9758,3.5135,4.516,3.8979,2.2022,Fly54_4min,215
54,"D,D",05.01.23,05.01.23,06.02.23,6,old sperm,old SF,old sperm with old SF,3.381766667,3.4785,3.4661,3.2007,2.0721,Fly54_6min,216
55,"D,K",05.01.23,20.01.23,06.02.23,0,old sperm,young SF,old sperm with young SF,10.1737,10.8234,9.0955,10.6022,4.519,Fly55_0min,217
55,"D,K",05.01.23,20.01.23,06.02.23,2,old sperm,young SF,old sperm with young SF,9.760666667,11.1939,8.296,9.7921,3.9514,Fly55_2min,218
55,"D,K",05.01.23,20.01.23,06.02.23,4,old sperm,young SF,old sperm with young SF,8.914333333,9.4675,7.88,9.3955,3.7134,Fly55_4min,219
55,"D,K",05.01.23,20.01.23,06.02.23,6,old sperm,young SF,old sperm with young SF,7.237466667,7.753,7.4952,6.4642,3.4056,Fly55_6min,220
56,"D,K",05.01.23,20.01.23,06.02.23,0,old sperm,young SF,old sperm with young SF,6.251066667,4.9068,6.5451,7.3013,3.1428,Fly56_0min,221
56,"D,K",05.01.23,20.01.23,06.02.23,2,old sperm,young SF,old sperm with young SF,5.409533333,4.2603,5.2509,6.7174,2.5355,Fly56_2min,222
56,"D,K",05.01.23,20.01.23,06.02.23,4,old sperm,young SF,old sperm with young SF,4.102366667,3.423,2.9957,5.8884,2.2728,Fly56_4min,223
56,"D,K",05.01.23,20.01.23,06.02.23,6,old sperm,young SF,old sperm with young SF,3.4774,3.2176,3.0005,4.2141,2.0811,Fly56_6min,224
57,"K,K",20.01.23,20.01.23,06.02.23,0,young sperm,young SF,young sperm with young SF,9.238266667,9.2415,10.2275,8.2458,5.8452,Fly57_0min,225
57,"K,K",20.01.23,20.01.23,06.02.23,2,young sperm,young SF,young sperm with young SF,8.140766667,7.9611,8.4041,8.0571,5.2218,Fly57_2min,226
57,"K,K",20.01.23,20.01.23,06.02.23,4,young sperm,young SF,young sperm with young SF,7.417966667,7.8707,6.2419,8.1413,4.6627,Fly57_4min,227
57,"K,K",20.01.23,20.01.23,06.02.23,6,young sperm,young SF,young sperm with young SF,5.661333333,6.8374,3.1149,7.0317,4.0872,Fly57_6min,228
58,"K,K",20.01.23,20.01.23,06.02.23,0,young sperm,young SF,young sperm with young SF,7.4469,8.834,7.2906,6.2161,3.1447,Fly58_0min,229
58,"K,K",20.01.23,20.01.23,06.02.23,2,young sperm,young SF,young sperm with young SF,5.4894,6.6951,4.5755,5.1976,2.7376,Fly58_2min,230
58,"K,K",20.01.23,20.01.23,06.02.23,4,young sperm,young SF,young sperm with young SF,4.687466667,5.6376,3.7272,4.6976,2.5071,Fly58_4min,231
58,"K,K",20.01.23,20.01.23,06.02.23,6,young sperm,young SF,young sperm with young SF,4.015733333,4.7564,3.0411,4.2497,2.3138,Fly58_6min,232
59,"K,D",20.01.23,05.01.23,06.02.23,0,young sperm,old SF,young sperm with old SF,9.747333333,9.3094,10.5018,9.4308,6.1092,Fly59_0min,233
59,"K,D",20.01.23,05.01.23,06.02.23,2,young sperm,old SF,young sperm with old SF,7.186266667,7.9408,6.5556,7.0624,5.2577,Fly59_2min,234
59,"K,D",20.01.23,05.01.23,06.02.23,4,young sperm,old SF,young sperm with old SF,5.869366667,6.7131,5.242,5.653,4.5148,Fly59_4min,235
59,"K,D",20.01.23,05.01.23,06.02.23,6,young sperm,old SF,young sperm with old SF,4.678,5.7025,3.9199,4.4116,4.0742,Fly59_6min,236
60,"K,D",20.01.23,05.01.23,06.02.23,0,young sperm,old SF,young sperm with old SF,3.51,4.4789,3.6744,2.3767,2.6588,Fly60_0min,237
60,"K,D",20.01.23,05.01.23,06.02.23,2,young sperm,old SF,young sperm with old SF,2.680433333,4.0645,2.3581,1.6187,2.1065,Fly60_2min,238
60,"K,D",20.01.23,05.01.23,06.02.23,4,young sperm,old SF,young sperm with old SF,2.2288,3.435,1.9036,1.3478,1.7577,Fly60_4min,239
60,"K,D",20.01.23,05.01.23,06.02.23,6,young sperm,old SF,young sperm with old SF,1.993533333,2.904,1.6611,1.4155,1.6309,Fly60_6min,240
61,"D,D",05.01.23,05.01.23,06.02.23,0,old sperm,old SF,old sperm with old SF,4.138966667,4.6162,3.78,4.0207,3.402,Fly61_0min,241
61,"D,D",05.01.23,05.01.23,06.02.23,2,old sperm,old SF,old sperm with old SF,3.818433333,4.1767,4.1721,3.1065,3.1699,Fly61_2min,242
61,"D,D",05.01.23,05.01.23,06.02.23,4,old sperm,old SF,old sperm with old SF,3.021966667,3.0851,3.042,2.9388,2.6891,Fly61_4min,243
61,"D,D",05.01.23,05.01.23,06.02.23,6,old sperm,old SF,old sperm with old SF,3.757866667,3.4181,5.1255,2.73,2.9983,Fly61_6min,244
62,"D,D",05.01.23,05.01.23,06.02.23,0,old sperm,old SF,old sperm with old SF,8.627066667,8.3334,8.6206,8.9272,4.2879,Fly62_0min,245
62,"D,D",05.01.23,05.01.23,06.02.23,2,old sperm,old SF,old sperm with old SF,7.5813,7.2774,7.4903,7.9762,4.6084,Fly62_2min,246
62,"D,D",05.01.23,05.01.23,06.02.23,4,old sperm,old SF,old sperm with old SF,7.397766667,7.3024,7.595,7.2959,4.698,Fly62_4min,247
62,"D,D",05.01.23,05.01.23,06.02.23,6,old sperm,old SF,old sperm with old SF,7.0226,6.9259,7.678,6.4639,4.5964,Fly62_6min,248
63,"D,K",05.01.23,20.01.23,06.02.23,0,old sperm,young SF,old sperm with young SF,10.6716,13.8527,8.7868,9.3753,4.4946,Fly63_0min,249
63,"D,K",05.01.23,20.01.23,06.02.23,2,old sperm,young SF,old sperm with young SF,7.130433333,8.1793,6.0492,7.1628,3.6995,Fly63_2min,250
63,"D,K",05.01.23,20.01.23,06.02.23,4,old sperm,young SF,old sperm with young SF,5.1165,5.217,4.1933,5.9392,2.9638,Fly63_4min,251
63,"D,K",05.01.23,20.01.23,06.02.23,6,old sperm,young SF,old sperm with young SF,3.9552,3.9723,3.2205,4.6728,2.5548,Fly63_6min,252
64,"D,K",05.01.23,20.01.23,06.02.23,0,old sperm,young SF,old sperm with young SF,1.827133333,1.5464,2.0406,1.8944,1.6895,Fly64_0min,253
64,"D,K",05.01.23,20.01.23,06.02.23,2,old sperm,young SF,old sperm with young SF,1.557933333,1.3034,1.7365,1.6339,1.5868,Fly64_2min,254
64,"D,K",05.01.23,20.01.23,06.02.23,4,old sperm,young SF,old sperm with young SF,1.424166667,1.2272,1.5855,1.4598,1.5099,Fly64_4min,255
64,"D,K",05.01.23,20.01.23,06.02.23,6,old sperm,young SF,old sperm with young SF,1.357066667,1.2091,1.5159,1.3462,1.478,Fly64_6min,256
65,"K,K",20.01.23,20.01.23,06.02.23,0,young sperm,young SF,young sperm with young SF,8.740666667,9.0622,8.4149,8.7449,5.6813,Fly65_0min,257
65,"K,K",20.01.23,20.01.23,06.02.23,2,young sperm,young SF,young sperm with young SF,8.4275,8.573,8.2618,8.4477,5.4771,Fly65_2min,258
65,"K,K",20.01.23,20.01.23,06.02.23,4,young sperm,young SF,young sperm with young SF,8.019766667,8.0022,8.0833,7.9738,5.1475,Fly65_4min,259
65,"K,K",20.01.23,20.01.23,06.02.23,6,young sperm,young SF,young sperm with young SF,7.832866667,7.557,8.0742,7.8674,4.9771,Fly65_6min,260
66,"K,K",20.01.23,20.01.23,06.02.23,0,young sperm,young SF,young sperm with young SF,4.4485,4.797,4.4703,4.0782,3.3243,Fly66_0min,261
66,"K,K",20.01.23,20.01.23,06.02.23,2,young sperm,young SF,young sperm with young SF,2.777133333,2.9561,3.0595,2.3158,2.2733,Fly66_2min,262
66,"K,K",20.01.23,20.01.23,06.02.23,4,young sperm,young SF,young sperm with young SF,1.7252,1.8936,1.8921,1.3899,1.7361,Fly66_4min,263
66,"K,K",20.01.23,20.01.23,06.02.23,6,young sperm,young SF,young sperm with young SF,1.482066667,1.8295,1.3501,1.2666,1.5672,Fly66_6min,264
67,"K,D",20.01.23,05.01.23,06.02.23,0,young sperm,old SF,young sperm with old SF,8.421333333,8.8842,7.7618,8.618,5.1666,Fly67_0min,265
67,"K,D",20.01.23,05.01.23,06.02.23,2,young sperm,old SF,young sperm with old SF,8.1557,8.6852,7.7797,8.0022,4.6555,Fly67_2min,266
67,"K,D",20.01.23,05.01.23,06.02.23,4,young sperm,old SF,young sperm with old SF,7.110966667,8.4464,5.8019,7.0846,4.2375,Fly67_4min,267
67,"K,D",20.01.23,05.01.23,06.02.23,6,young sperm,old SF,young sperm with old SF,6.670333333,7.9584,5.458,6.5946,3.9945,Fly67_6min,268
68,"K,D",20.01.23,05.01.23,06.02.23,0,young sperm,old SF,young sperm with old SF,8.942566667,10.9482,7.6638,8.2157,5.0506,Fly68_0min,269
68,"K,D",20.01.23,05.01.23,06.02.23,2,young sperm,old SF,young sperm with old SF,7.845266667,8.8764,7.2932,7.3662,4.2864,Fly68_2min,270
68,"K,D",20.01.23,05.01.23,06.02.23,4,young sperm,old SF,young sperm with old SF,7.322866667,8.5597,6.8455,6.5634,4.0151,Fly68_4min,271
68,"K,D",20.01.23,05.01.23,06.02.23,6,young sperm,old SF,young sperm with old SF,6.934933333,8.1643,6.4296,6.2109,3.741,Fly68_6min,272
