male_ID,treatment,male_age,time_factor,mean.sperm.motility
1,with seminal fluid,2,0,14.10666667
1,with seminal fluid,2,2,11.06666667
1,with seminal fluid,2,4,10.10666667
1,with seminal fluid,2,6,9.49
1,without seminal fluid,2,0,7.566666667
1,without seminal fluid,2,2,2.603333333
1,without seminal fluid,2,4,2.716666667
1,without seminal fluid,2,6,2.796666667
2,without seminal fluid,2,0,7.643333333
2,without seminal fluid,2,2,5.276666667
2,without seminal fluid,2,4,3.226666667
2,without seminal fluid,2,6,2.606666667
2,with seminal fluid,2,0,14.15666667
2,with seminal fluid,2,2,11.29333333
2,with seminal fluid,2,4,10.41333333
2,with seminal fluid,2,6,9.653333333
3,with seminal fluid,2,0,6.05
3,with seminal fluid,2,2,4.743333333
3,with seminal fluid,2,4,1.953333333
3,with seminal fluid,2,6,1.696666667
3,without seminal fluid,2,0,4.17
3,without seminal fluid,2,2,2.17
3,without seminal fluid,2,4,1.786666667
3,without seminal fluid,2,6,1.616666667
4,without seminal fluid,2,0,7.89
4,without seminal fluid,2,2,6.05
4,without seminal fluid,2,4,5.52
4,without seminal fluid,2,6,3.06
4,with seminal fluid,2,0,7.183333333
4,with seminal fluid,2,2,3.566666667
4,with seminal fluid,2,4,2.193333333
4,with seminal fluid,2,6,1.91
5,with seminal fluid,2,0,11.32666667
5,with seminal fluid,2,2,9.696666667
5,with seminal fluid,2,4,8.67
5,with seminal fluid,2,6,6.916666667
5,without seminal fluid,2,0,7.373333333
5,without seminal fluid,2,2,4.093333333
5,without seminal fluid,2,4,4.146666667
5,without seminal fluid,2,6,2.61
7,with seminal fluid,2,0,10.01333333
7,with seminal fluid,2,2,7.936666667
7,with seminal fluid,2,4,5.863333333
7,with seminal fluid,2,6,3.463333333
7,without seminal fluid,2,0,3.13
7,without seminal fluid,2,2,2.363333333
7,without seminal fluid,2,4,2.166666667
7,without seminal fluid,2,6,2.066666667
9,without seminal fluid,5,0,2.57
9,without seminal fluid,5,2,1.88
9,without seminal fluid,5,4,1.506666667
9,without seminal fluid,5,6,1.383333333
9,with seminal fluid,5,0,12.61
9,with seminal fluid,5,2,11.16666667
9,with seminal fluid,5,4,10.36333333
9,with seminal fluid,5,6,9.163333333
10,with seminal fluid,5,0,14.46666667
10,with seminal fluid,5,2,12.72333333
10,with seminal fluid,5,4,10.15666667
10,with seminal fluid,5,6,8.626666667
10,without seminal fluid,5,0,7.25
10,without seminal fluid,5,2,5.77
10,without seminal fluid,5,4,3.14
10,without seminal fluid,5,6,3.06
11,without seminal fluid,5,0,11.54333333
11,without seminal fluid,5,2,10.07333333
11,without seminal fluid,5,4,8.12
11,without seminal fluid,5,6,7.253333333
11,with seminal fluid,5,0,10.90666667
11,with seminal fluid,5,2,10.77
11,with seminal fluid,5,4,9.89
11,with seminal fluid,5,6,9.336666667
12,with seminal fluid,5,0,10.21666667
12,with seminal fluid,5,2,7.826666667
12,with seminal fluid,5,4,6.07
12,with seminal fluid,5,6,6.176666667
12,without seminal fluid,5,0,13.10333333
12,without seminal fluid,5,2,7.686666667
12,without seminal fluid,5,4,5.843333333
12,without seminal fluid,5,6,4.156666667
13,without seminal fluid,5,0,10.60666667
13,without seminal fluid,5,2,7.416666667
13,without seminal fluid,5,4,6.06
13,without seminal fluid,5,6,5.586666667
13,with seminal fluid,5,0,10.17333333
13,with seminal fluid,5,2,6.97
13,with seminal fluid,5,4,5.54
13,with seminal fluid,5,6,4.853333333
14,with seminal fluid,5,0,13.78
14,with seminal fluid,5,2,11.49
